local_key,listingId,bedrooms,bathrooms,price,daysOnMarket,interestLevel
115602,6845972,1,1,3925,331,1
16427,7171361,2,1,7200,263,1
99267,6913513,2,1,2850,318,2
116278,6851609,2,2,5850,330,1
73788,7057386,3,1,4475,286,1
69775,6980894,2,1,2550,303,2
11214,7228691,1,1,1800,250,2
5428,7201979,3,1,3850,257,2
41757,7146019,1,1,1900,267,1
43484,7058720,4,1,4695,286,1
83012,6896799,3,1,2600,326,1
27942,7224599,2,1,2600,251,2
58048,7075113,0,1,1825,283,1
114969,6904541,2,1,3450,319,2
107598,6916045,2,2,6492,317,1
93964,6847530,1,1,6000,331,1
74124,6987088,1,1,3300,301,2
32656,7220812,2,2,4200,252,2
8798,7179692,0,1,3662,261,1
2381,7145916,0,1,3491,267,1
10172,7099407,1,1,2900,277,1
35995,7121375,1,1,3000,272,3
32912,7113127,4,2,5500,274,1
12432,7143739,1,1,4990,268,1
91684,6938425,4,2,5695,312,2
17618,7124587,2,1,2000,271,1
70570,7074506,1,1,2624,283,2
111871,6928281,1,1,1940,329,1
71558,6960800,1,1,4007,307,1
77030,7066619,2,1,3500,285,1
44575,6968519,0,1,2250,305,1
84899,6885632,1,1,1750,323,1
118261,7248181,1,1,2500,315,1
116964,6866105,5,2,8400,327,1
8514,7140749,1,1,3650,268,1
103657,6887186,2,1,1650,323,3
113192,6883469,1,1,2950,324,1
35507,7103258,4,3,4400,276,1
50726,7019382,0,1,2200,294,1
85479,6830666,0,1,2425,334,2
23698,7095791,2,1,4000,277,2
88342,6917178,1,1,2050,316,1
5725,7163948,3,2,7225,264,1
31038,7181503,1,1,2295,259,2
101373,6913669,0,1,2650,318,2
14169,7203346,1,1,4082,256,1
92518,6914267,2,1,1800,317,3
52490,7064470,2,2,5570,285,1
96808,7260982,0,1,2475,318,1
11486,7212804,1,1,2250,254,1
23056,7201196,2,1,3100,257,2
62761,7016957,0,1,2200,295,1
67350,6996415,1,1,4588,299,1
33321,7092310,1,1,3395,278,1
31623,7137455,2,1,2950,269,1
63951,6977527,4,2,8000,303,1
110504,6865647,3,2,7995,327,1
37522,7196150,5,2,5600,258,1
51621,6992409,2,1,1900,299,3
43846,7062902,1,1,2600,285,1
82941,6824851,0,1,1735,335,1
105512,6844465,1,2,3700,332,1
92371,6882708,1,1,3300,324,1
68603,7061464,1,1,2500,286,2
119563,6920043,1,1,2300,316,2
116775,6883601,1,1,3800,324,1
15563,7233705,0,1,2305,250,2
82806,6937818,0,1,2450,312,2
118441,6933554,0,1,1800,313,2
30566,7220829,2,1,3875,252,1
6068,7210701,1,1,3000,255,1
31422,7117691,3,2,2750,272,3
99171,6934633,2,1,5200,312,1
55348,6979690,1,1,3250,303,1
23001,7126763,2,1,3400,271,1
100260,6851019,2,1,1695,330,3
2727,7189449,3,1,2600,258,1
63358,7001088,1,1,1760,298,3
66887,7062004,3,1,2650,286,1
13045,7139235,0,1,4195,268,1
12969,7116057,2,1,2300,273,1
12583,7232367,2,1,2350,250,2
15911,7231089,3,1,6409,250,1
48683,6984992,1,2,2325,301,3
86573,6868687,2,1,3400,327,2
95864,6915171,2,1,4410,317,1
55154,6981582,2,1,6000,302,1
87502,6860973,3,2,6350,328,1
70380,7004814,0,1,2475,297,1
45082,6963879,2,1,2850,306,1
60217,7023694,0,1,2770,293,1
60772,7042450,1,1,2495,290,2
96845,6934604,1,1,2350,312,2
13063,7110119,4,2,5600,275,1
112249,6926860,1,1,3338,314,2
53204,7006988,0,1,3400,297,1
67215,6976270,3,1,3900,304,2
45766,6996333,1,1,2050,299,1
114623,6900384,1,1,3295,320,1
54929,6961879,1,1,2700,306,1
25472,7180930,1,1,2600,261,1
3401,7189331,1,1,1750,258,1
70819,7006635,1,1,3650,297,1
77102,7009565,0,1,2895,296,1
60969,7054846,1,1,2799,287,2
71955,7077020,0,1,1940,283,2
107964,6881586,3,2,7900,324,1
2731,7216660,0,1,2100,254,1
96306,6938056,2,1,2850,312,2
77844,7056595,1,1,1625,286,2
22384,7200670,2,2,2100,257,1
18061,7163780,0,1,3407,264,1
37385,7118778,2,1,2500,272,1
120185,6890404,4,2,5400,322,1
43327,6994476,0,1,2435,299,1
79394,6977003,0,1,2375,303,1
16,7226687,3,1,7200,251,1
104664,6852231,2,1,2800,330,2
114157,6909013,2,1,3300,319,3
53242,7034176,2,1,2750,291,1
34416,7148787,1,1,3220,267,1
67472,7009700,1,2,5400,296,1
19398,7228717,1,1,4255,250,1
2740,7143681,2,1,2500,268,2
31109,7230334,1,1,2550,250,2
89323,6948483,2,1,2400,310,3
23789,7128261,3,1,4200,270,1
71945,7027301,2,1,3000,292,1
94774,6833780,3,2,6375,334,1
29267,7090835,2,1,3300,278,1
108140,6870393,3,1,4400,326,1
63858,7022620,3,2,3900,293,1
11622,7173431,0,1,2200,263,2
102216,6918319,0,1,1995,316,3
29856,7164045,4,2,2492,264,2
48739,7007934,2,1,4895,297,1
51152,6992191,4,2,7800,300,1
106030,6886314,0,1,2550,323,1
20374,7196547,1,1,2701,257,1
123165,6859267,4,1,2995,328,1
107138,6829453,2,1,2500,334,1
104731,6865652,2,1,3500,327,1
122624,6813491,1,1,2900,338,3
92650,6853487,2,1,2200,330,1
88685,6885150,1,1,2975,323,1
21133,7173969,0,1,2920,263,1
51670,7038686,3,2,4900,291,2
48234,6971275,0,2,2300,305,2
25793,7174943,3,1,4000,262,2
98389,6850076,3,1,3700,331,1
80860,7034399,1,1,4500,291,1
119728,6945974,1,1,2200,310,2
2560,7091805,2,2,2800,278,3
46764,7004415,3,3,10750,297,1
96643,6879287,0,1,2145,325,2
1789,7162784,2,1,5700,264,1
44123,6977484,1,1,3499,303,1
48400,7055629,1,1,2750,287,1
122112,6915148,0,2,10000,317,1
118738,6943732,3,2,5000,311,1
66951,7015095,1,1,4295,295,1
56718,6972199,0,1,1650,304,2
71379,7069492,3,2,5295,284,1
96322,6937620,3,1,4750,312,1
74229,7071214,0,1,1995,284,2
50683,7357792,3,1,4000,304,1
27212,7119249,0,1,2550,272,1
6009,7103761,0,1,4875,276,1
28445,7112839,1,1,3149,274,2
35006,7135608,2,1,2000,269,1
112157,6886131,0,1,2400,323,1
38376,7177593,3,2,3695,262,1
12641,7190429,2,2,6000,258,1
94831,6880266,2,1,2000,325,3
29510,7110500,2,1,1900,275,3
71562,6964861,2,1,4000,306,1
12800,7154580,3,2,5900,266,2
71002,7082196,1,1,2495,281,3
6657,7146127,2,2,7200,267,1
107508,6841778,2,1,2700,332,1
77834,6974537,4,2,5350,304,1
83906,6843969,3,1,3000,332,2
621,7113766,3,1,4300,274,2
22964,7159059,3,1,3400,265,1
117424,6907900,2,2,5990,319,1
60377,7015312,1,1,3000,295,1
121786,6840596,2,2,2965,333,2
109905,6855027,2,2,3700,329,1
122821,6836099,2,1,3300,333,1
76891,7015183,3,1,2500,295,1
55156,7082113,3,2,7250,281,1
28660,7187009,0,1,2495,258,1
11242,7194518,1,1,2700,258,2
91431,6876471,1,1,2900,325,1
70673,6962003,1,1,2500,306,3
83805,6891255,3,1,2750,322,2
2297,7130328,3,1,2650,270,1
97190,6840186,1,1,3500,333,2
122809,6850730,2,1,3175,330,1
19095,7114116,1,1,3650,274,1
52364,6970719,2,1,3150,305,3
71186,6980296,3,1,4385,303,2
40076,7142727,2,1,3400,268,3
57221,7043499,1,1,2700,290,3
20302,7160000,1,1,3195,265,1
109613,6894742,2,1,5500,321,1
44500,7074304,1,1,2995,283,1
90213,6896482,2,1,3895,321,2
23718,7192256,1,1,2300,258,1
5462,7210000,2,2,6650,255,1
86185,6937566,0,1,2500,312,1
101150,6830996,4,2,5825,334,1
13842,7110678,4,4,11500,275,2
36541,7167420,0,1,2690,263,1
118905,6823497,5,3,15000,335,1
59139,6985768,1,1,3395,301,1
94894,6938084,2,2,10500,312,1
1607,7120180,0,1,3605,272,1
52822,6967354,0,1,1550,305,2
83715,6887844,1,1,2000,323,3
68209,6999542,4,2,6050,298,1
89330,6874804,0,1,1950,325,1
27716,7096975,0,1,1800,277,2
79365,7060089,1,1,1550,286,2
3429,7158246,2,1,3195,265,2
18918,7129208,5,2,7929,270,1
76935,7050782,3,2,5895,289,1
61434,7048206,0,1,2100,289,1
63533,7014589,0,1,2190,295,1
76579,6982639,2,1,3200,302,1
39593,7210225,3,3,13745,255,1
48992,7082671,4,2,3300,281,1
69940,7037857,1,1,2450,291,1
117218,6851493,0,1,2800,330,1
41455,7204786,1,1,1800,256,1
88112,6825983,1,1,3295,335,1
71282,6969185,1,1,2595,305,1
84928,6931775,2,2,5200,313,2
27448,7110937,1,1,2795,275,1
44903,6957850,0,1,2300,307,2
32185,7199539,4,3,11125,257,1
55215,6995943,3,3,7195,299,1
9909,7156696,0,1,2750,265,1
50160,7080015,3,2,5200,282,1
103818,6931524,1,1,1625,313,2
87078,6915657,2,2,3905,317,2
34918,7088907,0,1,1950,278,3
92836,6842716,0,1,1950,332,1
109307,6901441,1,1,3000,320,2
64178,7042466,3,2,5800,290,1
7943,7103781,1,1,4765,276,1
58162,6990996,2,1,3389,300,1
73307,7069699,0,1,2175,284,1
32391,7159393,3,1,4000,265,3
8973,7221168,0,0,2825,252,1
13235,7096801,1,1,2900,277,1
42602,7210187,0,1,1700,255,3
96535,6871088,4,2,6484,326,2
40081,7200880,4,2,4950,257,3
37683,7140528,2,1,3100,268,2
24832,7136612,0,1,2800,269,2
75140,7002398,4,2,5800,298,2
4673,7194240,2,1,4000,258,2
121315,6935356,1,1,3200,312,1
85858,6922286,1,1,3425,315,1
12836,7169781,0,1,1660,263,2
51818,6977937,3,1,4250,303,2
53645,6987271,0,1,3000,301,1
96784,6893245,2,1,2350,321,1
116995,6878959,0,1,2500,325,1
93363,6871519,2,1,2900,326,1
63440,6957139,2,1,3800,307,1
58893,7083658,0,1,2895,280,2
8002,7212415,1,1,2300,255,3
1058,7093542,3,2,5290,278,1
22372,7204413,1,1,2100,256,1
12950,7160882,2,1,2450,265,2
26615,7182117,3,1,5295,259,1
68907,6953710,3,1,2650,308,1
15477,7225367,1,1,3895,251,1
45026,7015129,3,1,6195,295,1
82962,6906675,1,1,1725,319,2
2990,7134446,0,1,2895,269,1
91140,6814939,1,1,1500,338,1
1597,7192282,2,2,10000,258,1
49080,7022766,1,1,6175,293,1
62912,6981262,3,1,3800,303,1
25854,7230984,1,1,3675,250,1
105609,6868155,2,2,6200,327,1
105208,6878113,2,1,3507,325,2
60648,7009766,0,1,2550,296,2
66794,7039964,2,1,2550,291,3
46930,6996732,0,1,2600,299,1
23947,7095027,1,1,2895,277,1
65524,7002211,1,1,3780,298,1
123677,6861490,0,1,11340,328,1
96031,6860970,0,1,2700,328,1
74476,6989603,1,1,3100,300,1
106559,6943773,1,1,1900,311,1
20556,7108716,2,2,3500,275,2
77772,7046403,1,1,2950,289,1
95704,6941496,3,2,6000,311,1
15686,7138546,1,1,3195,268,1
40862,7101621,2,1,3299,276,1
121747,6863523,0,1,1100,327,3
115668,6887788,1,1,3795,323,1
76901,7074933,2,1,5695,283,1
96356,6840191,3,1,3800,333,2
12946,7225869,3,1,5300,251,1
117718,6886465,2,1,1850,323,3
43683,7012332,0,1,2500,296,1
11573,7106505,2,2,5900,275,1
121074,6892150,2,2,6165,321,1
86151,6947308,3,1,3950,310,3
10942,7204146,1,1,3795,256,1
20789,7097784,2,2,7050,277,1
88913,6832102,1,1,3175,334,1
63822,7009449,1,1,3550,296,1
85161,6822320,2,1,4200,336,3
44556,7013507,3,1,3400,296,1
44202,7060751,2,1,3500,286,1
112916,6898960,1,1,3595,320,1
6275,7105299,4,2,6900,276,1
74159,7023334,2,1,2695,293,1
22229,7198969,0,1,2300,257,1
16684,7158616,3,1,6150,265,1
103064,6887582,2,1,5200,323,1
46620,6986762,4,2,3500,301,1
19524,7211403,1,1,3450,255,2
15380,7221135,3,2,4900,252,1
110285,6856527,2,2,5560,329,3
26942,7089849,1,1,2700,278,1
78207,7080253,2,1,2595,282,3
111191,6820119,1,1,2550,336,1
61249,7047247,3,2,5500,289,1
36348,7175489,2,1,4100,262,3
57212,7009940,4,1,2300,296,2
4994,7091431,0,1,2815,278,1
24230,7156775,3,2,16600,265,1
19165,7205478,2,1,4000,256,1
101797,6826504,3,2,5600,335,1
69828,7041712,1,1,2600,290,1
10983,7149751,2,1,3300,267,1
71953,7023259,2,1,2550,293,1
11016,7098426,2,2,6200,277,1
94579,6839354,2,2,6500,333,1
99583,6939753,3,2,3695,311,1
51145,6971174,1,1,2620,305,1
66344,7032447,3,2,5967,292,1
48562,7019667,2,1,1650,294,3
16921,7139742,2,1,3450,268,2
44669,6997926,2,1,3758,299,3
35990,7172832,2,1,3300,263,1
9762,7121567,2,1,4700,272,1
39622,7198710,1,1,3000,257,1
86541,6923893,2,1,3600,314,1
98923,6822644,1,1,2300,335,1
76461,6979801,2,1,1500,303,3
48652,7028244,2,2,6493,292,1
70711,7061896,1,1,2500,286,2
21733,7156203,0,1,3440,265,1
8248,7094426,2,1,2995,278,1
79982,7000710,2,1,3300,298,2
115673,6932814,2,2,4500,313,1
9678,7198879,2,1,1900,257,2
17901,7201521,3,2,6400,257,1
108516,6885479,1,1,2760,323,1
112195,6894955,1,1,1650,321,2
73040,6995568,0,1,1950,299,1
39988,7159128,1,1,4200,265,1
113129,6946868,2,1,3000,310,1
93649,6873219,0,1,2875,326,2
55362,6968642,0,1,2350,305,1
17528,7151187,1,1,2595,267,1
47537,7064050,0,1,2400,285,1
77665,6976239,2,1,3700,304,1
71067,6980683,2,1,2800,303,2
34759,7214661,1,1,3195,254,1
30088,7097341,1,1,4000,277,1
120082,6858951,1,1,1975,328,2
46902,7025241,3,3,15000,293,1
26040,7192371,1,1,3250,258,1
71834,7081526,2,1,2925,281,2
6542,7155319,2,1,2650,266,3
123435,6840255,2,1,2600,333,1
12395,7231020,3,2,7000,250,1
13248,7121574,0,1,2295,272,1
46157,7043997,4,3,10000,290,1
69092,6987756,2,1,4164,300,1
48429,7047935,3,1,5200,289,3
33636,7090476,3,1,2995,278,1
749,7158913,0,1,2150,265,2
41118,7090353,2,1,2650,278,2
120890,6868957,2,1,2500,327,2
73956,6986796,2,1,2300,302,2
14988,7173855,1,1,2300,263,2
92206,6850781,3,3,13995,330,1
37610,7195558,0,1,4200,258,1
20801,7215864,0,1,1675,254,2
28146,7168006,0,1,2800,263,1
57060,7026131,3,1,3750,293,2
76198,7008816,0,1,2100,297,1
97050,6858058,3,2,5100,328,1
36713,7223477,3,3,8500,251,1
115858,6884999,2,1,1950,323,2
113369,6913240,2,1,3400,318,1
56822,7042974,0,1,2550,290,1
93185,6862578,2,1,3695,328,2
38111,7136370,1,1,5865,269,1
66193,7019982,0,1,2250,294,1
87965,6859645,1,1,4415,328,1
110845,6827549,1,1,2595,334,1
65822,7081102,2,1,3050,281,1
97669,6914864,2,1,2790,317,1
56251,7056055,1,1,2650,287,1
18062,7169608,2,2,4350,263,1
89764,6923826,2,1,3300,314,1
70060,7015222,1,1,1800,295,1
77386,7074434,5,2,9425,283,1
57519,7062440,1,1,5250,285,1
67727,7055664,2,1,2800,287,1
118167,6881733,3,2,7895,324,1
66362,7081577,4,2,7995,281,1
109695,6906904,3,3,7000,319,2
54638,6974163,3,1,3995,304,1
110719,6887885,2,2,9995,323,1
2892,7102689,0,1,3375,276,1
57225,6999314,2,2,5100,298,1
108682,6846867,2,1,2450,331,1
64743,7054806,4,1,6000,287,1
37995,7113756,1,1,2700,274,2
13980,7172891,1,1,4650,263,1
107403,6935148,4,2,7490,312,1
11982,7213560,1,1,3995,254,1
28648,7213947,0,1,2700,254,1
33250,7219124,1,1,2200,253,1
64717,6955044,1,1,3615,307,1
554,7164531,1,1,2795,264,1
67067,7023253,1,1,5895,293,1
115846,6823286,0,1,2150,335,1
14343,7194276,0,1,2095,258,1
93761,6813880,2,1,3895,338,3
41451,7224565,1,1,2695,251,1
68627,7082968,0,1,2200,280,1
65993,7073812,2,2,5850,283,1
49515,6999496,1,1,2875,298,1
110455,6879399,0,1,2300,325,1
23403,7212569,1,1,2250,255,1
27063,7103634,0,1,2560,276,1
115,7126878,2,1,2795,271,3
67474,7052922,2,1,2950,288,1
75244,6958249,1,1,2800,307,2
98552,6910996,2,2,5800,318,3
82946,6910970,1,1,2300,318,1
86668,6907168,2,1,3095,319,1
47315,6990721,0,1,2395,300,1
18788,7175616,2,1,3250,262,1
96032,6936643,1,1,2850,312,3
87219,6831760,3,2,17000,334,1
74882,7050559,3,1,3300,289,3
47251,7008916,0,1,1550,296,1
98948,6902873,4,2,8000,320,3
31116,7124005,3,2,4600,271,1
25775,7106933,2,1,2800,275,3
54083,7001527,2,2,6000,298,1
88563,6874367,1,1,1800,326,1
106412,6901269,0,1,2300,320,2
54284,7031431,0,1,1775,292,1
8807,7094673,0,1,2200,277,1
32405,7109667,1,1,2395,275,1
30786,7103112,1,1,3395,276,1
107728,6856933,0,1,1750,329,3
29574,7091349,2,1,3825,278,1
59746,7083013,2,1,3995,280,1
105207,6890808,1,1,3200,322,2
109621,6824135,1,1,3295,335,2
4962,7100946,2,1,2595,276,2
76486,6952216,2,1,3995,308,1
5593,7121203,1,1,1450,272,3
41223,7094786,2,1,2150,277,2
17335,7231498,1,1,3015,250,1
705,7300648,2,1,1800,250,3
48109,7014104,2,1,3600,296,1
101893,6859066,2,2,11250,328,1
32233,7173548,1,1,2900,263,1
8086,7141994,2,2,8000,268,1
115626,6857551,0,1,2584,328,1
41163,7095663,0,1,3600,277,1
78646,7076540,3,2,4400,283,2
3682,7195263,1,1,2900,258,2
42175,7192943,1,1,1850,258,2
42918,7137407,1,1,2100,269,1
20910,7110933,1,1,3250,275,2
22779,7209829,2,1,2500,255,1
46489,7004791,4,2,6250,297,2
10921,7176322,2,1,3950,262,3
106161,6830582,2,1,3795,334,1
56842,6998984,2,1,4395,298,1
32451,7168113,2,1,3500,263,1
112515,6939996,4,1,2600,311,1
24337,7169214,0,0,2590,263,1
73244,6993816,2,1,3095,299,1
70708,7062857,3,2,6900,285,1
